COMMENT_ID,AUTHOR,COMMENT
z12rwfnyyrbsefonb232i5ehdxzkjzjs2,Lisa Wellas,+447935454150 lovely girl talk to me xxx﻿
z130wpnwwnyuetxcn23xf5k5ynmkdpjrj04,jason graham,I always end up coming back to this song<br />﻿
z13vsfqirtavjvu0t22ezrgzyorwxhpf3,Ajkal Khan,"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿"
z12wjzc4eprnvja4304cgbbizuved35wxcs,Dakota Taylor,Cool﻿
z13xjfr42z3uxdz2223gx5rrzs3dt5hna,Jihad Naser,Hello I&#39;am from Palastine﻿
z133yfmjdur4dvyjr04ceh2osl2fvngrqi4,Darrion Johnson,Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿
z12zgrw5furdsn0sc233hfwavnznyhicq,kyeman13,Go check out my rapping video called Four Wheels please ❤️﻿
z12vxdzzds2kzzrzq04cdjc4ozq2szuyl5o,Damax,Almost 1 billion﻿
z12gxdortqzwhhqas04cfjrwituzghb5tvk0k,Muhammad Asim Mansha,Aslamu Lykum... From Pakistan﻿
z132wd4ywmicxj2gn04cdfhilyryjhmjhk00k,JuanPa Rap,Eminem is idol for very people in España and Mexico or Latinoamerica﻿
z13si1rx3nnbshdoj04cinipcqzwsdhq0bc,Mjt12,Help me get 50 subs please ﻿
z13hwbshcnrhztsw204cirfgvregzvywmag,emily 13,i love song :)﻿
z13nsd141x24yjh2m224xvlhisrqet4pj04,TheJohnRage,"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿"
z132ib3jvvqvzjj5t04ccrequzy5jhvr5ps0k,William Davis,The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿
z13puxp4xp35shhfy22bxx5pqlecxhqgc04,Ashleigh_ Baise,The boyfriend was Charlie from the TV show LOST ﻿
z13kyh3gdnnzdvxjt04ch5xzwlvjyfujpik,Lauralyn Karoll,"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿"
z12lhjtxlsisx55yu04cjp3x2mnmu34bh3g,Shirley Lim,Take a look at this video on YouTube:﻿
z13hhxajgrnldjmn523dsjqynsewilbm1,TMCB production (Instrumental Beats),Check out our Channel for nice Beats!!﻿
z12xurdj0qznephwg04cftq5rszgxdnq0xw0k,Sylith,Rihanna and Eminem together are unstoppable.﻿
z13isdtoikvzjlkij04cjxchbpv1tvpgmx40k,nepaladventure,Check out this playlist on YouTube:﻿
z13qf1qgcyigy14mx223iv2yqxb5ebze4,Pugnsuit,This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿
z13tyhj4drvcxzllt222tvwp3qi1e34ju04,Inga Lomidze,like please﻿
z12fcjxowubrsnwx104cftlgcpfzw5uwbug0k,Izana,"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿"
z12yg3dp5kf0hnbdj23aftm4iovygt32c,Daniel Klous,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿
z13xstfb3srrybsb404ccl5w4u3gin4pliw,Martin Gébele MUSIC,"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿"
z12nebyotsjgdxusi22nwj04pzypjx4ti,Crudgy,Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿
z13ke3jo2mejdbj3v22rslzzwuekwhsch,Joyce Jones,Check out this playlist on YouTube:﻿
z13gvxshio2lcx1fx22oc3jplwmhzrpsz,Hambro,HUH HYUCK HYUCK IM SPECIAL WHO&#39;S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.﻿
z12litdrrkzmg51kn23ghl2rctvttp0c4,LIL TEZ,"You exactly who u want to be,watching your favourite rappers on tv﻿"
z13mwrzgekanfjbnw23pgfwzwzf4wxgwv04,Maryf,Rihanna is absolutely gorgeous in this video.﻿
z12wefdg1w2sz3ase22tsd4j2xn1ybakp,There's No Saving Grace (FreakOffLeash),Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿
z12phhz5snysw5yn122xtjtiennhtlqc5,Kishore sl,"Don&#39;t love someone soo much, love the way u lie..﻿"
z121djwacsnbjhafe22nfvj5fuqti5i0t,Dragon Addict,one of the BEST SONGS in music history﻿
z12txfjzxvnaez5ov04cgjkbhnrnt3nzv04,Belinda Mitchell,Check out this playlist on YouTube:﻿
z125zruy3pfweniga04celt52kjjjxvgik40k,Klaudia Marysol,Check out this video on YouTube:﻿
z133sdliqlyvjldpn04cdxfhltqeen2gtsc0k,Rachael Knapp,Check out this video on YouTube:﻿
z12bdbbiyljvspiop04cgxpzmz3fgn2zppw0k,susie johnson,No-I hate The Way U LIe!!﻿
z12ruf1qbzv5xxdqq04cgjmiknmhx1mq314,Playboy 808,Fuck Eminem. Bieber is the best &lt;3﻿
z13ss524vpztvf2de23cyz2bmlfbvtcx304,Melissa Erhart,Check out this playlist on YouTube:chcfcvzfzfbvzdr﻿
z13uhpnygtntxr1q104cdb441oz0c5lz3yk0k,melissa delaney,Check out this playlist on YouTube: ﻿
z12hsdhwjqesj54wz04cc5aikwemsrarvak,Ben Romanucci,Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿
z12evpx4aliqc1fmp22sifxaiubaxrwre04,kevin alvarado,Check out this video on YouTube:﻿
z13gctgbhzitfr1up22axlkztzntfvjzt04,mona lavallee,Check out this video on YouTube<br /><br /><br />﻿
z13ktfeorojjx3dbd04cdzngspmlzj5qghs,Daniel Wagemans,CHECK OUT THE NEW REMIX !!!<br />CLICK CLICK !!﻿
z12asj4zop3ktr1le22ac54rmryqg321y,Greg Porter,Check out this playlist on YouTube:﻿
z12avrn4pmaaw34bc04cjfhhjvuazn3w0qk0k,Chris Faith,I personally have never been in a abusive relationship. I probably never will. I don&#39;t hit women. Mom has my dad used to hit my mom before he left. I can relate I&#39;m writing about one at the moment subscribe to hear it. EVERY fan counts.﻿
z12ofn4qmkmadrykm22bw5dgns3cxjcrh04,sonia prudencio,Love😘❤💖﻿
z130wtjzpzjvzdtrf04cd5e4zpehgro5eoo0k,Romulus IV,"Haha, I can&#39;t believe how many kids listen to Eminem.  You kids know that he does drugs and ends high in jail. I wonder why he never ended OD. ﻿"
z12qslfpnzyytzhfs23sxzpo0zjnibzw404,awsome models,plese subscribe to me﻿
z134hvbh0uqsvrhvc22bd5irmlnsxll4f04,Kyle Joyce,Check out this video on YouTube:﻿
z12vv12yzxuzhnaw104cg3hyboiwyvc4ea0,CypherBrothers,"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿"
z13zety5rwintlwlp23jtf5gxtalhlqrx04,Lynda Johnson,this is the 2nd most best song when im gone by m&amp;m﻿
z12pivfwewrbghj5504ccf5binmnurn5chg,Bryan Carter,Check out this video on YouTube:﻿
z12ujdnhpwroej3rd04cgrlguunjdnfwmkc0k,Bo Lanciné MAGASSOUBA,"WE GO FOR 1,000,000,000 FOR EMINEM﻿"
z12zfn0hzpazglcqa04cel05ixmujrq4ns40k,Supernatural Kubilay,Eminem and Rihanna sing the song very well.﻿
z12mjlfh2wyzzzc3e22sehuzmmjmstlv2,Bilinmeyenin Bilinmeyeni,Subscribe me Secret videos :D﻿
z13ahxgwpxvqwdc5l04cfx04zujse1vqprc0k,Janie Musgrove,Check out this video on YouTube:﻿
z13agbcrkp34wjdgl04cefs5lvvcxzeoj0s,Karen Cook,Check out this video on YouTube:but I&#39;m not Rhinnah﻿
LneaDw26bFt7RP87Zm4xWaDRwG5SE0XUHC_YBbvPQhQ,ultimatecleanmusic,Subscribe to me for clean Eminem!
LneaDw26bFshLT1-9YrPxWqbLzAdCIz2qsKDoIM2SDY,DJ ROY," Hey youtubers... {**}I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the           music world. {**}I dont have any money to advertise my channel, {**}If you could just visit my channel, comment on my video or subscribe, that would be great.... {**}It will only be few seconds of your life..... {**}Thank u to all the people who just gave me a chance l really appreciate it "
z13dd1easxeqvnjxj04cerrianuqvzhyh3g,Puan Sha Zamri,LOVE THE WAY YOU LIE ..&quot;﻿
z12dhdyq0lrxvfnkc23audjzgyjlhjoi204,andrewregino1,Check out this video on YouTube:﻿
LneaDw26bFsY5GVSw7Ysrp_qYtM0fQNxxmgXMIejcys,Pedazo Astur,This guy win dollars sleeping... m m m he loves the planet its full of RETARDS
LneaDw26bFspn3Az6aidHV7B4bezpM4wwmxPZdnRcI0,A Way With Words,Check out our cover of this song!
z13bjd54knqthbzis04cjb5xxsydfhzqejk,Louis Serano,Check out this video on YouTube:﻿
z13cxvn4hyjbyjiab04cepiynzaihpmpp24,Muhamat Agus,goot﻿
z12yzzqoozqieho4x04ci12qbrzhyzyyvjg,iSmartKid,2015 but Im still listening to this!﻿
z13fybbinsbfsxkmp22xcdlr1lqjuzi5i04,Jodie Jackson,"How is this the most watched Eminem video, it beats not afraid? ﻿"
LneaDw26bFt7AvG8x15igOZvrWApak5Zh5-PPag9YTs,themagicmangotree,Check out my channel for funny skits! Thanks!
LneaDw26bFvYw369Q5okcXCmHP7yDxn75UhHEKdI8Kc,AllDailyVines,hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines
LneaDw26bFsR_suTFQXPd6_Nuv-oikecM7Vx539o-2k,Samantha Sawyer,please read this please! i am a country singer who is trying to become someone. so if you would like my videos please. just type... boys round here by country girl (only on computer) wasting all these tears e.t. please subscribe and like
z124ipdjxtumszl0c23schdzqpb0xvczx04,Tajuanna Davis,Check out this video on YouTube:﻿
LneaDw26bFscYlZhrdft-O6Q7koeIpT4s4zpkbDHxl4,FreshX,"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!"
LneaDw26bFsrleSoC9hVAdk8QmJCwfmQ1BuBDhQBQ6E,Wild 'N' Out,CHECK OUT Eminem - Rap God LYRIC VIDEO
z13durcjdm23ifwo204cfxhzawawsrmps24,Alura Patterson,Love this song﻿
z12ied2xrpvuyrhkw224hxphqrzeev5s2,Cristian Sepulveda,"Rihana, Love Me. :(﻿"
LneaDw26bFuUatkiFUWLUY4JNw8D3HREKe8cD134B3U,Michael J. Cabose,like this comment then type 1337
z12buhk4iou1g3jl322ts5mzltm4fdhpz04,RoyEpperson,Is that Charlie from lost?<br />﻿
z13hcbfavrmgdz5df23nvnewnrbqj31vr,TheSkullcrusher73,who the fuck cheats on megan fox﻿
z13ui5tzlzucinaab04chvzqps22cxhznxc0k,Sebastian Martinez,that is megan fox﻿
z13ufngwhsmyedddo23yhp3hroypufsmz,Febe Gonzalez,I love music﻿
LneaDw26bFv6O3PTavPjpuAqyBikCq_8e6hyf4UjzYU,Michael J. Cabose,like this comment then type 1337
z13xcrw5xrregt5gu04cg5rrtl3mwdkp33o,Laura Da Silva,❤❤❤❤❤❤❤﻿
z13seb1gkmvqd1qne22ef3uihziwzlpqc04,Bayern Franken,"hot,hot﻿"
z134hfcw5v20ztroh04cjv4aezyaz5lq3zs0k,Tyler Gilman,Check out this video on YouTube:﻿
LneaDw26bFuiuUSZ-vXu3wz5XEsS6fhI7SHFsSXLcdo,ViperFoe,"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman."
z13oexlyfxivznriw04cdxmqqpmgy3bi5z40k,Jimmy Hopkins,this fucking song like a&#39;n oreo the only white part is the good 1﻿
z12oyrwohnngydher22nvh2qqvmtcvqo004,Dale Sullivan,"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿"
LneaDw26bFuP3B-am8XnZ--Od7F-JAwYOX4wwSK6Z64,volleyballspikerable,"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense."
LneaDw26bFutstEGU6gC3skDv8gnI8WnvWwvbuw3TP0,DanteBTV,Check Out The New Hot Video By Dante B Called Riled Up
LneaDw26bFvx3P5m9aHNEmwxaQJ2-C9iXQYdJD8fpiA,DanteBTV,Check Out The New Hot Video By Dante B Called Riled Up
z12ithhjbzzhwdmy504cfd4ypkiiizlbg3k,Ali Baza,"Still listening,still same pleasure﻿"
LneaDw26bFuYQhgPVcKoJxOS7aSiV7l-Ce25QwQEabw,Josephine Monti,▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌ FACEBOOK PASSWORD HACK 2013! facebook-pass-hack2013.blogspot.com ONLY 100% WORKING SOFTWARE FOR HACKING ANY FACEBOOK PASSWORD! It&#39;s FREE for download and breaks any password in 10-15 minutes! 100% virus free! For details and FREE DOWNLOAD please visit facebook-pass-hack2013.blogspot.com ▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌
z12ey1yzeo3quba4j04cfri44zazflihkes,Aurora Calvanelli,I love you!❤✨﻿
z13qjrqjnqbcvnpeg23lubsaezyzx1wti,LXZNY,2010? The time past so fast ..﻿
LneaDw26bFsE40L22WKVUqwIkp6g-YbHB2NgDr9DNo8,Dakoda Bigelow,"Hey everyone, I&#39;m Dakoda Bigelow.  I&#39;m a 17 year old singer, rapper and producer.  I&#39;ve gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won&#39;t regret it :)  Please thumbs this up so more people can see it!  Thanks for the support."
z13ddxrp0kv1gb13u22xudej0xrfwjk1f,ankan412,#2015 FUCK YEAH﻿
z134d5u5gkeeudxkj234wpgbxxezi1eb104,UserGamer51 _,eminem is a ginius stop!﻿
z13sgp25fzybg11lc23bhncaipqvgz14q04,Fill Reseni,The rap: cool     Rihanna: STTUUPID﻿
z12pxz2gvtrzfntqz04chluidzjvtr0yf04,Amer Amer,Just gonna stand there and hear me cry ..﻿
z12ndfzrsunjyji1522exnrwcl3rt11eh,AliBerk Özer,Love﻿
z12mw1oyume1vb3by04ci3u5it3pgbbgrng0k,King Kunta,Feels and emotions in this song...God damn﻿
LneaDw26bFt04z-5gd60QQsZAfjRxMsf7yqOomgDuvg,Joden Brett,all u should go check out j rants vi about eminem
z13gi54oqrf2hlkxg04cedchhrnjy13oj4s,GB REEFAT,MEGAN FOX AND EMINEM TOGETHER IN A VIDEO  DOESNT GET BETTER THAN THAT﻿
z13suzmh3uztgzwpo04cczvhfqfyifcawws0k,char mcleod,"Check out this video on YouTube: <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Eminem"">#Eminem</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Lovethewayyoulie"">#Lovethewayyoulie</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RapGod"">#RapGod</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23King"">#King</a> ﻿"
LneaDw26bFsatnacZXb_S1v2dOV0EyaNuykTxwkPmWg,101Tele,"yo I know nobody will probably even read this..  But I’m gonna type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You"
z12ecbfbewzlxxe5u04cjtmhqnzsdvyx1vs0k,leslie mendoza,best song﻿
LneaDw26bFtwg5A1ijrcWVqI_5EptEDoyiygIJl5Xp4,real money, subscribe to my feed
LneaDw26bFtiRx1bZC7n8eZ5ZsRoXrrrfdVu_92PJd4,SlimShadyPG,"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !"
LneaDw26bFu5UYF_PGCmMngzhI9QbSqmuO8zWFK0DCk,MegaEvilMonkee,Check out Em&#39;s dope new song monster here: /watch?v=w6gkM-XNY2M  MMLP2 FTW :)
LneaDw26bFs8EyO6vOIKjYpRt-sa-JxqbsTjjcbiPaQ,Adela Korman,  Check out my SEXY VIDEO :*
LneaDw26bFuLqTvlvHELy-tdwJHJYoSpv3zRbTj-5SQ,Adela Korman,  Check out my SEXY VIDEO :*
z13acfnbooefdzs4b04chtqjgyu0g5qqmgg,Sean Gormaly,Is that Charlie from lost?﻿
z13sy3uphtayfrujz04citigxpnfj5c4gk00k,DrAxel81,Anyone else notice that Megan Fox is in this video?﻿
LneaDw26bFu5aHCxlCYOFf1hW49mEQ4diJ3yjwxuW3U,Chuck Norris,Do you need more instagram followers or photo likes? Check out IGBlast.com and get em in minutes!
LneaDw26bFv9-vkMJy7kInsCbJzQ8qlJ8oUz9N7WfFQ,DanteBTV,Check Out The New Hot Video By Dante B Called Riled Up
LneaDw26bFsJd_Nwz5Hi7qWxPhPBjDRYOlUjtLgDwsk,DanteBTV,Check Out The New Hot Video By Dante B Called Riled Up
LneaDw26bFvAsBvYZLuVc3cJCI65rJQ9A-wZAcukfp0,101Tele,"yo I know nobody will probably even read this..  but, Imma type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You"
LneaDw26bFupwvoW3Go_MqiZr35wklInwfOlKebxCYE,Anon,"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters."
LneaDw26bFvnMp5q__XiHBvyky8sw2uF9b-ZfDZi2to,WeTheDopeSquad,WATCH MY VIDEOS AND SUBSCRIBE
LneaDw26bFvxF3dtP-JPmr1RRfbcmnhR8cXBDGWcO2M,AllDailyVines,:D subscribe to me for daily vines
z12svjz4pt3sxvser22cgdsbnyfwtn55l04,Emma Fedorova,LOVE IT!!!!!!!﻿
LneaDw26bFtwtT8_LopWaaxY8Oyx9gsb7cJXYi2g9_E,Brandtastic 1080,Hay dakota u earned a subscribee
LneaDw26bFs87f8zCtdgtSzADarWSHU_uPcclXWKxms,Andrew Guasch,"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace."
LneaDw26bFt2UN5Rat9A-sFv7kHQK3u5BwCCi0L8W1s,DanteBTV,Check Out The New Hot Video By Dante B Called Riled Up
z13zzjea3lrdfpk3323gttf4qtvwdbuhh04,Zach Myers,I hate rap and I like this song﻿
z13czbe5wuelthefr22uit3o4m32v3f4q04,Chris Edgar,Love the way you lie - Driveshaft﻿
z13pevnyjqyyi1o0a23wtbkiukzfcbz3j,Jakab Norbert,2010:(﻿
z13xg5zjtp3sfxm4a04cf1bolmzvu154bto0k,Marsonal Carrey,"1,000,000 VIEWS NEAR﻿"
LneaDw26bFs2gfQVXn0iARlUHD77c23Quer_0vQFKR4,Jacob Johnson,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Chillpal . Sturdy . Astauand . Johackle . Chorenn . Ethosien . Changeable . Public . Noxu . Ploosnar . Looplab . Hoppler . Delicious . False . Scitenoa . Locobot . Heartbreaking . Thirsty . Reminiscent"
z124ixlgtxrxeliqw04ccr5auumhzbezcbo,Sean Messi Y.,this song is NICE﻿
